folder,results_problem_4,results_problem_10,results_problem_5,results_problem_1,results_problem_3,results_problem_19,results_problem_22,results_problem_9,results_problem_23,results_problem_14,results_problem_18,results_problem_20,results_problem_8,results_problem_11,results_problem_13,results_problem_12,results_problem_21,results_problem_16,results_problem_6,results_problem_2,results_problem_17,results_problem_7,results_problem_15,categories.thisRepN,categories.thisTrialN,categories.thisN,categories.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_kb.started,consent_kb.keys,consent_kb.rt,Gender.keys,Gender.rt,Age,instructions_text.started,instructions_text.stopped,instructions_kb.keys,instructions_kb.rt,instructions_kb.started,instructions_kb.stopped,trial_kb.keys,current_problem_num,category_resp,answer,seed,accuracy,feedback,trial_kb.rt,trial_kb.started,trial_kb.stopped,trial_image.started,trial_image.stopped,feedback_text.started,feedback_text.stopped,new_problem_kb.started,new_problem_text.started,new_problem_kb.keys,new_problem_kb.rt,Participant #,session,date,expName,psychopyVersion,frameRate,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_0_0005.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,j,10,B,B,32,1,Correct!,0.9390660999924876,530.4858227000223,None,530.4858227000223,None,531.4691931999987,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_1_0013.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,j,10,B,A,32,0,Incorrect!,0.5589277999824844,532.5859209999908,None,532.5859209999908,None,533.1692501000362,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_1_0016.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,f,10,A,A,32,1,Correct!,0.5069265000056475,534.2859425999923,None,534.2859425999923,None,534.8359544000123,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_1_0007.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,f,10,A,A,32,1,Correct!,0.7434293999685906,535.9693374999915,None,535.9693374999915,None,536.7526956000365,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_0_0002.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,j,10,B,B,32,1,Correct!,0.5699294000514783,537.9027414000011,None,537.9027414000011,None,538.519488400023,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_0_0009.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,j,10,B,B,32,1,Correct!,2.8506866999669,539.6861295000417,None,539.6861295000417,None,542.586206500011,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_0_0001.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,f,10,A,B,32,0,Incorrect!,1.103848900005687,543.7529264999903,None,543.7529264999903,None,544.8862775000161,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_0_0000.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,f,10,A,B,32,0,Incorrect!,0.7863837999757379,546.0862908000126,None,546.0862908000126,None,546.9030108000152,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_1_0006.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,f,10,A,A,32,1,Correct!,0.4976732999784872,548.1031038000365,None,548.1031038000365,None,548.6197642000043,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_4\sample_1_0003.png,C:\Users\subject\Desktop\SVRT Experiments\SVRT Experiment 3\svrt_images\generated_images\results_problem_10\sample_0_0008.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,j,10,B,B,32,1,Correct!,0.988198300008662,549.8364553000429,None,549.8364553000429,None,550.8531053999905,None,,,,,127,001,2023-10-11_14h33.29.239,uncolored_shuffled,2021.2.3,59.99307679510997,
